interval_id,scenario_id,start_min,end_min,duration_s,generated_surface_volume_m3,captured_to_drain_volume_m3,surface_export_volume_m3,surface_balance_error_m3,drainage_input_volume_m3,drainage_export_volume_m3,drainage_overflow_volume_m3,drainage_balance_error_m3,surface_capture_fraction
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,27063.506372451782,23705.550106048584,3357.9562664031982,0.0,23705.550106048584,2478.506462783188,21227.0436432654,2.7284841053187847e-12,0.8759230891891637
030_060,rajendra_nagar_heavy_rain_demo,30,60,1800,46746.056696891785,40945.95041465759,5800.106282234192,0.0,40945.95041465759,2485.1485060163595,38460.80190864123,1.8189894035458565e-12,0.8759230897304788
060_090,rajendra_nagar_heavy_rain_demo,60,90,1800,68888.92678260803,60341.40157699585,8547.525205612183,0.0,60341.40157699584,2485.1485060163595,57856.25307097948,1.8189894035458565e-12,0.8759230894598561
090_120,rajendra_nagar_heavy_rain_demo,90,120,1800,73809.56757354736,64651.50447463989,9158.06309890747,0.0,64651.50447463989,2485.1485060163595,62166.35596862353,1.8189894035458565e-12,0.8759230896484803
120_150,rajendra_nagar_heavy_rain_demo,120,150,1800,56587.33303260803,49566.15157699585,7021.181455612183,0.0,49566.15157699585,2485.1485060163595,47081.00307097949,1.8189894035458565e-12,0.8759230895089847
150_180,rajendra_nagar_heavy_rain_demo,150,180,1800,34444.463391304016,30170.700788497925,4273.762602806091,0.0,30170.70078849792,2485.1485060163595,27685.55228248156,1.8189894035458565e-12,0.8759230894598561
