interval_id,scenario_id,start_min,end_min,duration_s,inlet_id,drain_node_id,drain_id,road_id,surface_row,surface_col,arrival_volume_m3,potential_inflow_q_m3s,entry_capacity_m3s,entry_capacity_source,entry_capacity_is_observed,coupling_method
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00032,RN_DNODE_00047,RN_DRAIN_00137,RN_ROAD_00543,81,77,10.518750190734863,0.005843750105963813,0.02637752433631995,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00033,RN_DNODE_00048,RN_DRAIN_00122,RN_ROAD_00558,80,77,21.037500381469727,0.011687500211927626,0.03484430030503481,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00034,RN_DNODE_00049,RN_DRAIN_00105,RN_ROAD_00558,79,77,10.518750190734863,0.005843750105963813,0.1272696969192279,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00037,RN_DNODE_00059,RN_DRAIN_00447,RN_ROAD_00235,106,79,21.037500381469727,0.011687500211927626,0.05446815070334662,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00039,RN_DNODE_00068,RN_DRAIN_00433,RN_ROAD_00234,105,80,115.70625019073486,0.06428125010596382,0.1272696969192279,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00040,RN_DNODE_00069,RN_DRAIN_00421,RN_ROAD_00235,104,80,836.5499987602234,0.46474999931123523,0.12723324562335805,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00041,RN_DNODE_00071,RN_DRAIN_00174,RN_ROAD_00290,84,80,207.28125095367432,0.11515625052981907,0.14154681932172938,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00043,RN_DNODE_00078,RN_DRAIN_00175,RN_ROAD_00291,84,81,32.17500019073486,0.017875000105963813,0.2530359490024738,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00044,RN_DNODE_00079,RN_DRAIN_00086,RN_ROAD_00571,78,81,173.25000190734863,0.09625000105963813,0.30124813859248456,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00047,RN_DNODE_00088,RN_DRAIN_00087,RN_ROAD_00584,78,82,464.06250190734863,0.25781250105963815,2.002281704829388,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00048,RN_DNODE_00096,RN_DRAIN_00186,RN_ROAD_00289,85,83,189.95625114440918,0.10553125063578288,0.151090496238554,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00049,RN_DNODE_00097,RN_DRAIN_00088,RN_ROAD_00569,78,83,10.518750190734863,0.005843750105963813,1.878999507826128,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00052,RN_DNODE_00104,RN_DRAIN_00187,RN_ROAD_00289,85,84,30.9375,0.0171875,0.044467843567026905,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00053,RN_DNODE_00105,RN_DRAIN_00089,RN_ROAD_00573,78,84,86.625,0.048125,1.8362178351593588,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00054,RN_DNODE_00111,RN_DRAIN_00285,RN_ROAD_00235,92,85,626.7937507629395,0.34821875042385525,0.03484430030503481,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00055,RN_DNODE_00112,RN_DRAIN_00226,RN_ROAD_00285,88,85,686.1937484741211,0.3812187491522895,0.2262936821084416,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00056,RN_DNODE_00113,RN_DRAIN_00188,RN_ROAD_00289,85,85,30.318750381469727,0.016843750211927626,0.13686859948507724,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00057,RN_DNODE_00114,RN_DRAIN_00108,RN_ROAD_00572,79,85,19.800000190734863,0.011000000105963813,0.05279460013290454,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
