interval_id,scenario_id,start_min,end_min,duration_s,drain_node_id,local_inlet_q_m3s,upstream_q_m3s,total_q_m3s,outgoing_drain_id,capacity_m3s,capacity_source,capacity_is_observed,conveyed_q_m3s,overflow_q_m3s,export_q_m3s,overflow_volume_m3
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00415,0.16809375074174668,0.0,0.16809375074174668,RN_DRAIN_00069,0.13572767824149176,synthetic_manning_scenario,0.0,0.13572767824149176,0.03236607250025492,0.0,58.25893050045885
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00533,0.0,0.0,0.0,RN_DRAIN_00079,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00534,0.0,0.0,0.0,RN_DRAIN_00080,0.02637752433631995,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00139,0.0,0.0,0.0,RN_DRAIN_00092,0.17503430320954919,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00204,0.0,0.0,0.0,RN_DRAIN_00093,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00230,0.0,0.0,0.0,RN_DRAIN_00094,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00322,0.0,0.0,0.0,RN_DRAIN_00096,0.2205372423203837,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00367,0.0,0.0,0.0,RN_DRAIN_00101,0.11429110698380826,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00524,0.0,0.0,0.0,RN_DRAIN_00103,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00114,0.011000000105963813,0.0,0.011000000105963813,RN_DRAIN_00108,0.05279460013290454,synthetic_manning_scenario,0.0,0.011000000105963813,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00126,0.0,0.0,0.0,RN_DRAIN_00109,0.216149286911403,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00156,0.0,0.0,0.0,RN_DRAIN_00111,0.2471983594008618,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00177,0.0,0.0,0.0,RN_DRAIN_00112,0.02637752433631995,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00248,0.0,0.0,0.0,RN_DRAIN_00115,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00334,0.0,0.0,0.0,RN_DRAIN_00117,0.2898108574113625,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00366,0.0,0.0,0.0,RN_DRAIN_00118,0.20580724239131704,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00539,0.0,0.0,0.0,RN_DRAIN_00120,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00056,0.0,0.0,0.0,RN_DRAIN_00123,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00137,0.0,0.0,0.0,RN_DRAIN_00124,0.24465918118318086,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00289,0.011687500211927626,0.0,0.011687500211927626,RN_DRAIN_00129,0.12733816465846753,synthetic_manning_scenario,0.0,0.011687500211927626,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00471,0.01203125,0.0,0.01203125,RN_DRAIN_00133,0.03485428291526828,synthetic_manning_scenario,0.0,0.01203125,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00038,0.011687500211927626,0.0,0.011687500211927626,RN_DRAIN_00136,0.02637752433631995,synthetic_manning_scenario,0.0,0.011687500211927626,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00047,0.005843750105963813,0.0,0.005843750105963813,RN_DRAIN_00137,0.02637752433631995,synthetic_manning_scenario,0.0,0.005843750105963813,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00154,0.0,0.0,0.0,RN_DRAIN_00138,0.1774601738083829,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
