cell_id,start_min,end_min,runoff_m3
R068_C090,0,30,10.518750190734863
R068_C091,0,30,9.28125
R068_C092,0,30,9.28125
R068_C093,0,30,9.28125
R068_C094,0,30,9.28125
R068_C095,0,30,9.28125
R068_C096,0,30,10.518750190734863
R068_C097,0,30,10.518750190734863
R068_C098,0,30,9.28125
R068_C099,0,30,9.28125
R068_C100,0,30,9.28125
R068_C101,0,30,9.28125
R068_C102,0,30,9.28125
R068_C103,0,30,3.7125000953674316
R068_C104,0,30,3.7125000953674316
R068_C105,0,30,9.28125
R068_C106,0,30,9.28125
R068_C107,0,30,9.28125
R068_C108,0,30,11.137499809265137
R068_C109,0,30,9.28125
R068_C110,0,30,10.518750190734863
R068_C111,0,30,11.137499809265137
R068_C112,0,30,11.137499809265137
R068_C113,0,30,11.137499809265137
R068_C114,0,30,10.518750190734863
R068_C115,0,30,10.518750190734863
R068_C116,0,30,10.518750190734863
R068_C117,0,30,9.28125
R068_C118,0,30,11.137499809265137
R068_C119,0,30,11.137499809265137
R068_C120,0,30,9.28125
R069_C082,0,30,9.28125
R069_C083,0,30,9.28125
R069_C084,0,30,11.137499809265137
R069_C085,0,30,10.518750190734863
R069_C086,0,30,9.28125
R069_C087,0,30,9.28125
R069_C088,0,30,10.518750190734863
R069_C089,0,30,10.518750190734863
R069_C090,0,30,10.518750190734863
R069_C091,0,30,9.28125
R069_C092,0,30,9.28125
R069_C093,0,30,9.28125
R069_C094,0,30,9.28125
R069_C095,0,30,10.518750190734863
R069_C096,0,30,10.518750190734863
R069_C097,0,30,9.28125
R069_C098,0,30,9.28125
R069_C099,0,30,9.28125
R069_C100,0,30,9.28125
R069_C101,0,30,9.28125
R069_C102,0,30,3.7125000953674316
R069_C103,0,30,3.7125000953674316
R069_C104,0,30,9.28125
R069_C105,0,30,9.28125
R069_C106,0,30,11.137499809265137
R069_C107,0,30,9.28125
R069_C108,0,30,11.137499809265137
R069_C109,0,30,9.28125
R069_C110,0,30,11.137499809265137
R069_C111,0,30,10.518750190734863
R069_C112,0,30,10.518750190734863
R069_C113,0,30,10.518750190734863
R069_C114,0,30,9.28125
R069_C115,0,30,11.137499809265137
R069_C116,0,30,10.518750190734863
R069_C117,0,30,11.137499809265137
R069_C118,0,30,11.137499809265137
R069_C119,0,30,10.518750190734863
R069_C120,0,30,10.518750190734863
R069_C121,0,30,10.518750190734863
R070_C081,0,30,11.137499809265137
R070_C082,0,30,10.518750190734863
R070_C083,0,30,9.28125
R070_C084,0,30,9.28125
R070_C085,0,30,11.137499809265137
R070_C086,0,30,10.518750190734863
R070_C087,0,30,10.518750190734863
R070_C088,0,30,10.518750190734863
R070_C089,0,30,10.518750190734863
R070_C090,0,30,10.518750190734863
R070_C091,0,30,9.28125
R070_C092,0,30,9.28125
R070_C093,0,30,9.28125
R070_C094,0,30,10.518750190734863
R070_C095,0,30,10.518750190734863
R070_C096,0,30,9.28125
R070_C097,0,30,9.28125
R070_C098,0,30,9.28125
R070_C099,0,30,9.28125
R070_C100,0,30,9.28125
R070_C101,0,30,3.7125000953674316
R070_C102,0,30,3.7125000953674316
R070_C103,0,30,3.7125000953674316
R070_C104,0,30,9.28125
R070_C105,0,30,9.28125
R070_C106,0,30,9.28125
R070_C107,0,30,9.28125
R070_C108,0,30,9.28125
R070_C109,0,30,9.28125
R070_C110,0,30,11.137499809265137
R070_C111,0,30,9.28125
R070_C112,0,30,9.28125
R070_C113,0,30,11.137499809265137
R070_C114,0,30,11.137499809265137
R070_C115,0,30,11.137499809265137
R070_C116,0,30,10.518750190734863
R070_C117,0,30,11.137499809265137
R070_C118,0,30,9.28125
R070_C119,0,30,9.28125
R070_C120,0,30,9.28125
R070_C121,0,30,9.28125
R070_C122,0,30,9.28125
R071_C080,0,30,9.28125
R071_C081,0,30,9.28125
R071_C082,0,30,10.518750190734863
R071_C083,0,30,10.518750190734863
R071_C084,0,30,9.28125
R071_C085,0,30,11.137499809265137
R071_C086,0,30,10.518750190734863
R071_C087,0,30,10.518750190734863
R071_C088,0,30,10.518750190734863
R071_C089,0,30,10.518750190734863
R071_C090,0,30,10.518750190734863
R071_C091,0,30,9.28125
R071_C092,0,30,9.28125
R071_C093,0,30,10.518750190734863
R071_C094,0,30,10.518750190734863
R071_C095,0,30,9.28125
R071_C096,0,30,9.28125
R071_C097,0,30,9.28125
R071_C098,0,30,9.28125
R071_C099,0,30,9.28125
R071_C100,0,30,3.7125000953674316
R071_C101,0,30,3.7125000953674316
R071_C102,0,30,3.7125000953674316
R071_C103,0,30,3.7125000953674316
R071_C104,0,30,3.7125000953674316
R071_C105,0,30,9.28125
R071_C106,0,30,9.28125
R071_C107,0,30,9.28125
R071_C108,0,30,9.28125
R071_C109,0,30,11.137499809265137
R071_C110,0,30,11.137499809265137
R071_C111,0,30,9.28125
R071_C112,0,30,9.28125
R071_C113,0,30,11.137499809265137
R071_C114,0,30,9.28125
R071_C115,0,30,9.28125
R071_C116,0,30,10.518750190734863
R071_C117,0,30,11.137499809265137
R071_C118,0,30,10.518750190734863
R071_C119,0,30,10.518750190734863
R071_C120,0,30,10.518750190734863
R071_C121,0,30,10.518750190734863
R071_C122,0,30,10.518750190734863
R071_C123,0,30,10.518750190734863
R072_C078,0,30,9.28125
R072_C079,0,30,9.28125
R072_C080,0,30,11.137499809265137
R072_C081,0,30,11.137499809265137
R072_C082,0,30,9.28125
R072_C083,0,30,10.518750190734863
R072_C084,0,30,10.518750190734863
R072_C085,0,30,10.518750190734863
R072_C086,0,30,9.28125
R072_C087,0,30,10.518750190734863
R072_C088,0,30,11.137499809265137
R072_C089,0,30,11.137499809265137
R072_C090,0,30,9.28125
R072_C091,0,30,9.28125
R072_C092,0,30,10.518750190734863
R072_C093,0,30,10.518750190734863
R072_C094,0,30,9.28125
R072_C095,0,30,9.28125
R072_C096,0,30,9.28125
R072_C097,0,30,9.28125
R072_C098,0,30,9.28125
R072_C099,0,30,3.7125000953674316
R072_C100,0,30,3.7125000953674316
R072_C101,0,30,3.7125000953674316
R072_C102,0,30,3.7125000953674316
R072_C103,0,30,3.7125000953674316
R072_C104,0,30,3.7125000953674316
R072_C105,0,30,9.28125
R072_C106,0,30,9.28125
R072_C107,0,30,11.137499809265137
R072_C108,0,30,9.28125
R072_C109,0,30,10.518750190734863
R072_C110,0,30,11.137499809265137
R072_C111,0,30,9.28125
R072_C112,0,30,10.518750190734863
R072_C113,0,30,10.518750190734863
R072_C114,0,30,10.518750190734863
R072_C115,0,30,10.518750190734863
R072_C116,0,30,10.518750190734863
R072_C117,0,30,10.518750190734863
R072_C118,0,30,11.137499809265137
R072_C119,0,30,9.28125
R072_C120,0,30,9.28125
R072_C121,0,30,9.28125
R072_C122,0,30,10.518750190734863
R072_C123,0,30,11.137499809265137
R072_C124,0,30,11.137499809265137
R073_C077,0,30,9.28125
R073_C078,0,30,9.28125
R073_C079,0,30,9.28125
R073_C080,0,30,9.28125
R073_C081,0,30,11.137499809265137
R073_C082,0,30,10.518750190734863
R073_C083,0,30,10.518750190734863
R073_C084,0,30,10.518750190734863
R073_C085,0,30,9.28125
R073_C086,0,30,9.28125
R073_C087,0,30,10.518750190734863
R073_C088,0,30,10.518750190734863
R073_C089,0,30,9.28125
R073_C090,0,30,9.28125
R073_C091,0,30,10.518750190734863
R073_C092,0,30,10.518750190734863
R073_C093,0,30,9.28125
R073_C094,0,30,9.28125
R073_C095,0,30,9.28125
R073_C096,0,30,9.28125
R073_C097,0,30,3.7125000953674316
R073_C098,0,30,3.7125000953674316
R073_C099,0,30,3.7125000953674316
R073_C100,0,30,3.7125000953674316
R073_C101,0,30,3.7125000953674316
R073_C102,0,30,3.7125000953674316
R073_C103,0,30,3.7125000953674316
R073_C104,0,30,3.7125000953674316
R073_C105,0,30,3.7125000953674316
R073_C106,0,30,10.518750190734863
R073_C107,0,30,10.518750190734863
R073_C108,0,30,10.518750190734863
R073_C109,0,30,11.137499809265137
R073_C110,0,30,10.518750190734863
R073_C111,0,30,10.518750190734863
R073_C112,0,30,11.137499809265137
R073_C113,0,30,11.137499809265137
R073_C114,0,30,9.28125
R073_C115,0,30,11.137499809265137
R073_C116,0,30,9.28125
R073_C117,0,30,10.518750190734863
R073_C118,0,30,9.28125
R073_C119,0,30,9.28125
R073_C120,0,30,10.518750190734863
R073_C121,0,30,11.137499809265137
R073_C122,0,30,10.518750190734863
R073_C123,0,30,9.28125
R073_C124,0,30,11.137499809265137
R073_C125,0,30,10.518750190734863
R074_C076,0,30,9.28125
R074_C077,0,30,9.28125
R074_C078,0,30,9.28125
R074_C079,0,30,9.28125
R074_C080,0,30,10.518750190734863
R074_C081,0,30,10.518750190734863
R074_C082,0,30,10.518750190734863
R074_C083,0,30,11.137499809265137
R074_C084,0,30,10.518750190734863
R074_C085,0,30,10.518750190734863
R074_C086,0,30,11.137499809265137
R074_C087,0,30,9.28125
R074_C088,0,30,9.28125
R074_C089,0,30,9.28125
R074_C090,0,30,9.28125
R074_C091,0,30,10.518750190734863
R074_C092,0,30,9.28125
R074_C093,0,30,9.28125
R074_C094,0,30,9.28125
R074_C095,0,30,9.28125
R074_C096,0,30,3.7125000953674316
R074_C097,0,30,3.7125000953674316
R074_C098,0,30,3.7125000953674316
R074_C099,0,30,9.28125
R074_C100,0,30,3.7125000953674316
R074_C101,0,30,3.7125000953674316
R074_C102,0,30,3.7125000953674316
R074_C103,0,30,3.7125000953674316
R074_C104,0,30,3.7125000953674316
R074_C105,0,30,3.7125000953674316
R074_C106,0,30,10.518750190734863
R074_C107,0,30,9.28125
R074_C108,0,30,10.518750190734863
R074_C109,0,30,11.137499809265137
R074_C110,0,30,9.28125
R074_C111,0,30,9.28125
R074_C112,0,30,9.28125
R074_C113,0,30,11.137499809265137
R074_C114,0,30,11.137499809265137
R074_C115,0,30,9.28125
R074_C116,0,30,11.137499809265137
R074_C117,0,30,10.518750190734863
R074_C118,0,30,11.137499809265137
R074_C119,0,30,9.28125
R074_C120,0,30,11.137499809265137
R074_C121,0,30,10.518750190734863
R074_C122,0,30,10.518750190734863
R074_C123,0,30,10.518750190734863
R074_C124,0,30,10.518750190734863
R074_C125,0,30,10.518750190734863
R074_C126,0,30,10.518750190734863
R075_C074,0,30,10.518750190734863
R075_C075,0,30,10.518750190734863
R075_C076,0,30,9.28125
R075_C077,0,30,9.28125
R075_C078,0,30,10.518750190734863
R075_C079,0,30,10.518750190734863
R075_C080,0,30,10.518750190734863
R075_C081,0,30,9.28125
R075_C082,0,30,11.137499809265137
R075_C083,0,30,11.137499809265137
R075_C084,0,30,10.518750190734863
R075_C085,0,30,11.137499809265137
R075_C086,0,30,10.518750190734863
R075_C087,0,30,10.518750190734863
R075_C088,0,30,9.28125
R075_C089,0,30,9.28125
R075_C090,0,30,10.518750190734863
R075_C091,0,30,10.518750190734863
R075_C092,0,30,9.28125
R075_C093,0,30,9.28125
R075_C094,0,30,9.28125
R075_C095,0,30,9.28125
R075_C096,0,30,3.7125000953674316
R075_C097,0,30,9.28125
R075_C098,0,30,3.7125000953674316
R075_C099,0,30,3.7125000953674316
R075_C100,0,30,3.7125000953674316
R075_C101,0,30,3.7125000953674316
R075_C102,0,30,3.7125000953674316
R075_C103,0,30,3.7125000953674316
R075_C104,0,30,3.7125000953674316
R075_C105,0,30,3.7125000953674316
R075_C106,0,30,10.518750190734863
R075_C107,0,30,9.28125
R075_C108,0,30,10.518750190734863
R075_C109,0,30,11.137499809265137
R075_C110,0,30,9.28125
R075_C111,0,30,9.28125
R075_C112,0,30,10.518750190734863
R075_C113,0,30,10.518750190734863
R075_C114,0,30,10.518750190734863
R075_C115,0,30,11.137499809265137
R075_C116,0,30,10.518750190734863
