interval_id,start_min,end_min,edge_id,graph_u,graph_v,graph_key,road_id,source_road_id,road_class,name,length_m,sampling_method,sampling_status,sample_cell_count,max_depth_m,mean_depth_m,p90_depth_m,fraction_gt_0m,fraction_gt_0_02m,fraction_gt_0_10m,fraction_gt_0_30m,flood_risk,flood_risk_rank,risk_policy,is_passable,passability_status,passability_policy
000_030,0,30,RN_ROAD_00001,RN_NODE_00183,RN_NODE_00222,0,RN_ROAD_00001,RN_ROAD_00001,primary,['Sinhagad Road'],110.33464311551056,road_line_intersected_raster_cells_all_touched,mapped,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00002,RN_NODE_00222,RN_NODE_00207,0,RN_ROAD_00002,RN_ROAD_00002,residential,,68.71572842918026,road_line_intersected_raster_cells_all_touched,mapped,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00003,RN_NODE_00222,RN_NODE_00249,0,RN_ROAD_00003,RN_ROAD_00003,primary,['Sinhagad Road'],126.32174974243748,road_line_intersected_raster_cells_all_touched,mapped,7,0.000285049638478,4.072137692544077e-05,0.0001140198553912,0.1428571428571428,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00004,RN_NODE_00207,RN_NODE_00167,0,RN_ROAD_00004,RN_ROAD_00004,residential,,89.17801673037181,road_line_intersected_raster_cells_all_touched,mapped,6,5.449118134492892e-07,9.081863557488153e-08,2.724559067246446e-07,0.1666666666666666,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00005,RN_NODE_00207,RN_NODE_00219,0,RN_ROAD_00005,RN_ROAD_00005,residential,,41.19479747562848,road_line_intersected_raster_cells_all_touched,mapped,2,5.660093302140013e-05,2.8300466510700065e-05,5.094083971926011e-05,0.5,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00012,RN_NODE_00249,RN_NODE_00250,0,RN_ROAD_00012,RN_ROAD_00012,tertiary,,45.82566466269537,road_line_intersected_raster_cells_all_touched,mapped,3,0.0134203918278217,0.0090050171808494,0.0133982354775071,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00014,RN_NODE_00249,RN_NODE_00307,0,RN_ROAD_00014,RN_ROAD_00014,primary,['Sinhagad Road'],224.8085898385542,road_line_intersected_raster_cells_all_touched,mapped,12,0.0380104109644889,0.0142530621936505,0.0310114156454801,1.0,0.3333333333333333,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00201,RN_NODE_00167,RN_NODE_00166,0,RN_ROAD_00201,RN_ROAD_00201,tertiary,['Dattawadi Road'],68.61200462070468,road_line_intersected_raster_cells_all_touched,mapped,3,5.449118134492892e-07,1.8163727114976305e-07,4.359294507594314e-07,0.3333333333333333,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00203,RN_NODE_00167,RN_NODE_00138,0,RN_ROAD_00203,RN_ROAD_00203,residential,,62.63354999075906,road_line_intersected_raster_cells_all_touched,mapped,3,1.6778581084508917e-06,9.67271053771886e-07,1.4780951346438088e-06,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00204,RN_NODE_00167,RN_NODE_00168,0,RN_ROAD_00204,RN_ROAD_00204,tertiary,['Dattawadi Road'],23.648846865110738,road_line_intersected_raster_cells_all_touched,mapped,2,2.9695677312702173e-06,1.7572397723597533e-06,2.7271021394881247e-06,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00006,RN_NODE_00199,RN_NODE_00172,0,RN_ROAD_00006,RN_ROAD_00006,residential,,47.47580518040966,road_line_intersected_raster_cells_all_touched,mapped,2,0.0002706661471165,0.0002519950867281,0.0002669319350388,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00007,RN_NODE_00199,RN_NODE_00218,0,RN_ROAD_00007,RN_ROAD_00007,residential,,59.27071050901246,road_line_intersected_raster_cells_all_touched,mapped,3,0.000546374998521,0.0003512756520649,0.0004919255850836,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00008,RN_NODE_00199,RN_NODE_00200,0,RN_ROAD_00008,RN_ROAD_00008,residential,,27.145839404120867,road_line_intersected_raster_cells_all_touched,mapped,2,0.0002513627696316,0.0002423433979856,0.0002495588953024,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00219,RN_NODE_00172,RN_NODE_00171,0,RN_ROAD_00219,RN_ROAD_00219,tertiary,['Dattawadi Road'],21.23826577577368,road_line_intersected_raster_cells_all_touched,mapped,2,0.0002706661471165,0.0001355699946401,0.0002436469166212,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00220,RN_NODE_00172,RN_NODE_00173,0,RN_ROAD_00220,RN_ROAD_00220,tertiary,['Dattawadi Road'],7.048386967157587,road_line_intersected_raster_cells_all_touched,mapped,1,0.0002706661471165,0.0002706661471165,0.0002706661471165,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00009,RN_NODE_00250,RN_NODE_00220,0,RN_ROAD_00009,RN_ROAD_00009,residential,,106.81149895405063,road_line_intersected_raster_cells_all_touched,mapped,5,0.0133096100762486,0.0046251351945102,0.0097274910658597,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00013,RN_NODE_00250,RN_NODE_00251,0,RN_ROAD_00013,RN_ROAD_00013,tertiary,,38.80812375658153,road_line_intersected_raster_cells_all_touched,mapped,2,0.0133096100762486,0.0112458602525293,0.0128968601115047,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00010,RN_NODE_00215,RN_NODE_00178,0,RN_ROAD_00010,RN_ROAD_00010,residential,,76.99211485840236,road_line_intersected_raster_cells_all_touched,mapped,3,0.0003703428374137,0.000328895500085,0.0003692704485729,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00033,RN_NODE_00178,RN_NODE_00208,0,RN_ROAD_00033,RN_ROAD_00033,tertiary,['Dattawadi Road'],182.8713536977504,road_line_intersected_raster_cells_all_touched,mapped,9,0.0638960823416709,0.0194799161981791,0.0416983231902122,1.0,0.3333333333333333,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00222,RN_NODE_00178,RN_NODE_00173,0,RN_ROAD_00222,RN_ROAD_00222,tertiary,['Dattawadi Road'],32.88828427926349,road_line_intersected_raster_cells_all_touched,mapped,2,0.0003649808932095,0.000317823520163,0.0003555494186002,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00011,RN_NODE_00298,RN_NODE_00205,0,RN_ROAD_00011,RN_ROAD_00011,primary,['Sinhagad Road'],420.1886585938232,road_line_intersected_raster_cells_all_touched,mapped,20,0.0380104109644889,0.0053536728744802,0.0273496136069297,0.5,0.15,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00024,RN_NODE_00298,RN_NODE_00339,0,RN_ROAD_00024,RN_ROAD_00024,living_street,,117.7024406571944,road_line_intersected_raster_cells_all_touched,mapped,6,0.0307795889675617,0.0167371306257943,0.0288740471005439,1.0,0.3333333333333333,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00026,RN_NODE_00298,RN_NODE_00311,0,RN_ROAD_00026,RN_ROAD_00026,primary,['Sinhagad Road'],20.820195650817585,road_line_intersected_raster_cells_all_touched,mapped,2,0.031460627913475,0.0292145665735006,0.0310114156454801,1.0,1.0,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00015,RN_NODE_00251,RN_NODE_00252,0,RN_ROAD_00015,RN_ROAD_00015,tertiary,,36.90402520875027,road_line_intersected_raster_cells_all_touched,mapped,2,0.021446468308568,0.015314289368689,0.0202200325205922,1.0,0.5,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00031,RN_NODE_00251,RN_NODE_00221,0,RN_ROAD_00031,RN_ROAD_00031,residential,,107.05914643211815,road_line_intersected_raster_cells_all_touched,mapped,5,0.0183870755136013,0.0100835808552801,0.0147050894796848,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
000_030,0,30,RN_ROAD_00027,RN_NODE_00307,RN_NODE_00311,0,RN_ROAD_00027,RN_ROAD_00027,tertiary,['Panmla road'],12.950108180473846,road_line_intersected_raster_cells_all_touched,mapped,2,0.031460627913475,0.0216044778935611,0.0294893979094922,1.0,0.5,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
