interval_id,start_min,end_min,edge_id,graph_u,graph_v,graph_key,road_id,source_road_id,road_class,name,length_m,sampling_method,sampling_status,sample_cell_count,max_depth_m,mean_depth_m,p90_depth_m,fraction_gt_0m,fraction_gt_0_02m,fraction_gt_0_10m,fraction_gt_0_30m
000_030,0,30,RN_ROAD_00011,RN_NODE_00298,RN_NODE_00205,0,RN_ROAD_00011,RN_ROAD_00011,primary,['Sinhagad Road'],420.18865859382316,road_line_intersected_raster_cells_all_touched,mapped,20,0.03801041096448898,0.005353672874480253,0.027349613606929786,0.5,0.15,0.0,0.0
000_030,0,30,RN_ROAD_00024,RN_NODE_00298,RN_NODE_00339,0,RN_ROAD_00024,RN_ROAD_00024,living_street,,117.7024406571944,road_line_intersected_raster_cells_all_touched,mapped,6,0.030779588967561722,0.016737130625794332,0.028874047100543976,1.0,0.3333333333333333,0.0,0.0
000_030,0,30,RN_ROAD_00026,RN_NODE_00298,RN_NODE_00311,0,RN_ROAD_00026,RN_ROAD_00026,primary,['Sinhagad Road'],20.820195650817585,road_line_intersected_raster_cells_all_touched,mapped,2,0.03146062791347504,0.029214566573500633,0.031011415645480156,1.0,1.0,0.0,0.0
000_030,0,30,RN_ROAD_00015,RN_NODE_00251,RN_NODE_00252,0,RN_ROAD_00015,RN_ROAD_00015,tertiary,,36.90402520875027,road_line_intersected_raster_cells_all_touched,mapped,2,0.021446468308568,0.01531428936868906,0.020220032520592214,1.0,0.5,0.0,0.0
000_030,0,30,RN_ROAD_00031,RN_NODE_00251,RN_NODE_00221,0,RN_ROAD_00031,RN_ROAD_00031,residential,,107.05914643211815,road_line_intersected_raster_cells_all_touched,mapped,5,0.018387075513601303,0.010083580855280161,0.014705089479684831,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00027,RN_NODE_00307,RN_NODE_00311,0,RN_ROAD_00027,RN_ROAD_00027,tertiary,['Panmla road'],12.950108180473846,road_line_intersected_raster_cells_all_touched,mapped,2,0.03146062791347504,0.021604477893561125,0.029489397909492253,1.0,0.5,0.0,0.0
000_030,0,30,RN_ROAD_00029,RN_NODE_00307,RN_NODE_00306,0,RN_ROAD_00029,RN_ROAD_00029,tertiary,['Panmla road'],165.88450329250958,road_line_intersected_raster_cells_all_touched,mapped,6,0.011748327873647213,0.005457042144068207,0.010777066461741924,0.8333333333333334,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00104,RN_NODE_00307,RN_NODE_00398,0,RN_ROAD_00104,RN_ROAD_00104,primary,['Sinhagad Road'],310.8681955303079,road_line_intersected_raster_cells_all_touched,mapped,14,0.03378748521208763,0.007337610727907824,0.011610534694045783,1.0,0.07142857142857142,0.0,0.0
000_030,0,30,RN_ROAD_00016,RN_NODE_00252,RN_NODE_00253,0,RN_ROAD_00016,RN_ROAD_00016,tertiary,,37.78957596580244,road_line_intersected_raster_cells_all_touched,mapped,3,0.057546913623809814,0.03417359230419,0.05074300989508629,1.0,1.0,0.0,0.0
000_030,0,30,RN_ROAD_00032,RN_NODE_00252,RN_NODE_00224,0,RN_ROAD_00032,RN_ROAD_00032,residential,,102.18258890538435,road_line_intersected_raster_cells_all_touched,mapped,5,0.0247122161090374,0.016189052909612655,0.02340591698884964,1.0,0.4,0.0,0.0
000_030,0,30,RN_ROAD_00017,RN_NODE_00253,RN_NODE_00240,0,RN_ROAD_00017,RN_ROAD_00017,residential,,56.818705917843346,road_line_intersected_raster_cells_all_touched,mapped,3,0.023527394980192184,0.01780026002476613,0.023074476420879363,1.0,0.6666666666666666,0.0,0.0
000_030,0,30,RN_ROAD_00018,RN_NODE_00253,RN_NODE_00254,0,RN_ROAD_00018,RN_ROAD_00018,tertiary,,10.404856598863448,road_line_intersected_raster_cells_all_touched,mapped,1,0.023527394980192184,0.023527394980192184,0.023527394980192184,1.0,1.0,0.0,0.0
000_030,0,30,RN_ROAD_00034,RN_NODE_00240,RN_NODE_00210,0,RN_ROAD_00034,RN_ROAD_00034,residential,,95.66029435012692,road_line_intersected_raster_cells_all_touched,mapped,5,0.06089727208018303,0.0401179701089859,0.056954463571310045,1.0,1.0,0.0,0.0
000_030,0,30,RN_ROAD_00035,RN_NODE_00240,RN_NODE_00242,0,RN_ROAD_00035,RN_ROAD_00035,residential,,55.25679009630857,road_line_intersected_raster_cells_all_touched,mapped,2,0.021262802183628082,0.01766698621213436,0.020543638989329337,1.0,0.5,0.0,0.0
000_030,0,30,RN_ROAD_00041,RN_NODE_00254,RN_NODE_00265,0,RN_ROAD_00041,RN_ROAD_00041,residential,,37.37936461896842,road_line_intersected_raster_cells_all_touched,mapped,2,0.025563107803463936,0.02454525139182806,0.02535953652113676,1.0,1.0,0.0,0.0
000_030,0,30,RN_ROAD_00043,RN_NODE_00254,RN_NODE_00256,0,RN_ROAD_00043,RN_ROAD_00043,tertiary,,44.90716795876552,road_line_intersected_raster_cells_all_touched,mapped,2,0.023527394980192184,0.013834649696946144,0.021588845923542977,1.0,0.5,0.0,0.0
